num,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9
0,0.051*"walk",0.036*"close",0.030*"restaurant",0.024*"location",0.021*"park",0.018*"great",0.018*"street",0.017*"neighborhood",0.017*"station",0.017*"distance",0.015*"t",0.015*"shop",0.014*"easy",0.014*"away",0.013*"locate",0.013*"place",0.013*"subway",0.012*"boston",0.011*"apartment",0.011*"public"
1,0.052*"boston",0.031*"thanks",0.024*"downtown",0.015*"take",0.012*"line",0.011*"ride",0.011*"walk",0.010*"problem",0.009*"get",0.009*"uber",0.008*"visit",0.008*"bus",0.008*"travel",0.008*"muy",0.008*"airport",0.008*"en",0.008*"car",0.007*"y",0.007*"es",0.007*"la"
2,0.030*"et",0.021*"très",0.021*"à",0.021*"nous",0.020*"de",0.015*"un",0.014*"est",0.012*"la",0.012*"pour",0.011*"le",0.011*"leave",0.010*"en",0.009*"e",0.008*"bien",0.008*"dans",0.007*"friend",0.007*"accommodate",0.007*"5",0.007*"les",0.007*"boston"
3,0.055*"bed",0.052*"feel",0.049*"comfortable",0.025*"home",0.023*"like",0.022*"check",0.021*"welcome",0.017*"clean",0.014*"apartment",0.014*"space",0.014*"stay",0.013*"sleep",0.012*"comfy",0.012*"super",0.010*"equip",0.008*"extra",0.007*"kitchen",0.007*"towel",0.007*"room",0.007*"need"
4,0.064*"nice",0.033*"neighborhood",0.031*"beautiful",0.031*"quiet",0.029*"home",0.027*"apartment",0.026*"house",0.013*"feel",0.013*"clean",0.012*"warm",0.012*"list",0.011*"safe",0.010*"lovely",0.009*"accurate",0.008*"comfortable",0.008*"place",0.008*"welcome",0.008*"description",0.008*"space",0.008*"city"
5,0.038*"time",0.027*"helpful",0.025*"meet",0.023*"question",0.020*"check",0.018*"accommodate",0.015*"need",0.015*"arrive",0.015*"help",0.014*"arrival",0.013*"responsive",0.013*"welcome",0.013*"friendly",0.012*"respond",0.012*"available",0.011*"answer",0.010*"quick",0.009*"easy",0.008*"host",0.008*"give"
6,0.055*"easy",0.045*"thank",0.027*"sure",0.022*"boston",0.021*"walk",0.018*"go",0.018*"house",0.016*"make",0.014*"access",0.014*"t",0.012*"charm",0.011*"instruction",0.011*"check",0.011*"home",0.011*"bus",0.011*"stop",0.010*"line",0.010*"clear",0.009*"way",0.007*"station"
7,0.147*"recommend",0.120*"place",0.060*"highly",0.033*"definitely",0.027*"location",0.027*"convenient",0.027*"stay",0.022*"amaze",0.018*"wonderful",0.014*"boston",0.013*"apartment",0.011*"want",0.010*"absolutely",0.008*"visit",0.008*"great",0.007*"look",0.006*"come",0.006*"price",0.006*"house",0.005*"worth"
8,0.172*"great",0.130*"host",0.061*"experience",0.043*"location",0.023*"apartment",0.022*"fantastic",0.022*"airbnb",0.018*"excellent",0.016*"wonderful",0.014*"overall",0.013*"nice",0.011*"awesome",0.011*"friendly",0.010*"reservation",0.009*"good",0.009*"arrival",0.008*"helpful",0.008*"cancel",0.008*"welcome",0.007*"lisa"
9,0.231*"stay",0.071*"boston",0.039*"definitely",0.037*"place",0.031*"enjoy",0.024*"great",0.021*"time",0.018*"visit",0.017*"love",0.012*"come",0.011*"apartment",0.011*"home",0.010*"family",0.010*"trip",0.009*"wonderful",0.009*"look",0.008*"nice",0.008*"pleasant",0.008*"house",0.007*"return"
10,0.024*"kitchen",0.019*"breakfast",0.013*"coffee",0.012*"bathroom",0.012*"need",0.010*"floor",0.010*"water",0.010*"use",0.009*"shower",0.009*"bite",0.009*"old",0.008*"provide",0.008*"house",0.008*"bedroom",0.008*"window",0.008*"build",0.008*"little",0.008*"room",0.008*"cook",0.007*"good"
11,0.112*"clean",0.105*"room",0.044*"comfortable",0.026*"apartment",0.023*"bathroom",0.023*"spacious",0.021*"nice",0.018*"place",0.015*"cozy",0.012*"house",0.011*"small",0.011*"bed",0.010*"picture",0.010*"big",0.009*"share",0.008*"private",0.007*"friendly",0.007*"like",0.007*"guest",0.006*"tidy"
12,0.062*"perfect",0.051*"location",0.047*"place",0.038*"good",0.038*"apartment",0.035*"need",0.029*"boston",0.028*"describe",0.028*"great",0.025*"well",0.022*"exactly",0.019*"stay",0.011*"kind",0.010*"clean",0.010*"host",0.009*"give",0.009*"provide",0.009*"care",0.007*"thing",0.007*"look"
13,0.029*"apartment",0.021*"area",0.017*"bedroom",0.014*"book",0.014*"live",0.013*"boston",0.011*"room",0.010*"location",0.010*"place",0.009*"central",0.008*"hope",0.008*"2",0.007*"hotel",0.007*"lovely",0.006*"large",0.006*"safe",0.006*"size",0.006*"ask",0.006*"stay",0.006*"people"
